idcom;idcomtxt;idreg;idregtxt;iddep;iddeptxt;epci24;epci24txt;scot;aav2020;aav2020txt;aav2020_typo;naf09art10;art09act10;art09hab10;art09mix10;art09rou10;art09fer10;art09inc10;naf10art11;art10act11;art10hab11;art10mix11;art10rou11;art10fer11;art10inc11;naf11art12;art11act12;art11hab12;art11mix12;art11rou12;art11fer12;art11inc12;naf12art13;art12act13;art12hab13;art12mix13;art12rou13;art12fer13;art12inc13;naf13art14;art13act14;art13hab14;art13mix14;art13rou14;art13fer14;art13inc14;naf14art15;art14act15;art14hab15;art14mix15;art14rou15;art14fer15;art14inc15;naf15art16;art15act16;art15hab16;art15mix16;art15rou16;art15fer16;art15inc16;naf16art17;art16act17;art16hab17;art16mix17;art16rou17;art16fer17;art16inc17;naf17art18;art17act18;art17hab18;art17mix18;art17rou18;art17fer18;art17inc18;naf18art19;art18act19;art18hab19;art18mix19;art18rou19;art18fer19;art18inc19;naf19art20;art19act20;art19hab20;art19mix20;art19rou20;art19fer20;art19inc20;naf20art21;art20act21;art20hab21;art20mix21;art20rou21;art20fer21;art20inc21;naf21art22;art21act22;art21hab22;art21mix22;art21rou22;art21fer22;art21inc22;naf22art23;art22act23;art22hab23;art22mix23;art22rou23;art22fer23;art22inc23;naf23art24;art23act24;art23hab24;art23mix24;art23rou24;art23fer24;art23inc24;naf09art24;art09act24;art09hab24;art09mix24;art09inc24;art09rou24;art09fer24;artcom0924;pop15;pop21;pop1521;men15;men21;men1521;emp15;emp21;emp1521;mepart1521;menhab1521;artpop1521;surfcom2024;groupe;surface_ha;artif_total_ha;artif_habitat_ha;artif_activites_ha;taux_artif;artif_par_habitant;part_habitat
38131;Les Côtes-d'Arey;84;Auvergne-Rhône-Alpes;38;Isère;200077014;Communauté d'agglomération Vienne Condrieu;SCoT des Rives du Rhône;20;Lyon;20;10224;451;8871;0;902;0;0;10225;452;8871;0;902;0;0;11844;0;11844;0;0;0;0;11288;0;9379;0;1909;0;0;7771;0;7771;0;0;0;0;3367;0;3367;0;0;0;0;3147;0;3147;0;0;0;0;30223;0;24796;5241;185;0;1;2062;0;2028;0;34;0;0;21006;0;19845;0;1161;0;0;6298;1508;4751;0;39;0;0;8118;0;8118;0;0;0;0;10520;0;9532;0;988;0;0;33804;5829;27943;0;32;0;0;5199;0;5199;0;0;0;0;175096;8240;155462;5241;1;6152;0;0.72;1983;2024;41;783;835;52;238;225;-13;5.5;8.3;1728.15;24173756;SCoT Rives du Rhône;2417.3756;17.5096;15.5462;0.824;0.7243226911035257;4270.634146341464;88.78672271211221
38134;Cour-et-Buis;84;Auvergne-Rhône-Alpes;38;Isère;200085751;Communauté de communes Entre Bièvre et Rhône;SCoT des Rives du Rhône;20;Lyon;20;2466;0;2385;0;80;0;1;2466;0;2386;0;81;0;-1;17565;0;16475;0;1002;0;88;12136;0;12136;0;0;0;0;2698;0;2698;0;0;0;0;0;0;0;0;0;0;0;2068;0;2068;0;0;0;0;3554;0;3554;0;0;0;0;6301;0;6285;0;16;0;0;7135;3039;3313;0;783;0;0;1019;0;1000;0;19;0;0;3700;0;2975;0;17;0;708;3770;0;3770;0;0;0;0;3703;0;3646;0;57;0;0;8382;0;8382;0;0;0;0;76963;3039;71073;0;796;2055;0;0.56;852;932;80;350;377;27;159;190;30;24.39;14.07;297.21;13865779;SCoT Rives du Rhône;1386.5779;7.6963;7.1073;0.3039;0.5550571662796587;962.0375;92.3469719215727
38157;Estrablin;84;Auvergne-Rhône-Alpes;38;Isère;200077014;Communauté d'agglomération Vienne Condrieu;SCoT des Rives du Rhône;20;Lyon;20;25534;3069;17724;0;483;0;4258;25534;3069;17724;0;484;0;4257;4047;0;4047;0;0;0;0;3416;0;3416;0;0;0;0;8455;4493;2934;0;1028;0;0;108115;0;107761;0;354;0;0;139263;0;3422;0;216;0;135625;2633;0;2150;0;483;0;0;13434;2179;8123;0;3132;0;0;14814;1289;11600;0;1925;0;0;23557;940;16119;2702;1582;0;2214;20726;7337;13389;0;0;0;0;4835;0;4835;0;0;0;0;17098;0;17097;0;1;0;0;15074;3388;11385;0;301;0;0;426535;25764;241726;2702;146354;9989;0;2.06;3296;3643;347;1335;1496;161;874;869;-5;7.28;29.38;617.95;20723759;SCoT Rives du Rhône;2072.3759;42.6535;24.1726;2.5764;2.0581932071300386;1229.207492795389;56.67201988113519
38160;Eyzin-Pinet;84;Auvergne-Rhône-Alpes;38;Isère;200077014;Communauté d'agglomération Vienne Condrieu;SCoT des Rives du Rhône;20;Lyon;20;3478;0;3438;0;39;0;1;3478;0;3439;0;40;0;-1;20754;0;20754;0;0;0;0;25249;0;25243;0;6;0;0;6195;0;5506;0;45;0;644;19868;4782;14086;1000;0;0;0;4851;0;4851;0;0;0;0;11544;0;11517;0;27;0;0;17964;0;15815;0;1024;0;1125;6595;0;3075;3224;296;0;0;8515;0;8515;0;0;0;0;1698;0;1641;0;57;0;0;22530;0;22530;0;0;0;0;5350;0;4680;0;670;0;0;11314;0;11294;0;20;0;0;169383;4782;156384;4224;1769;2224;0;0.6;2204;2316;112;854;921;68;345;332;-13;10.75;14.97;456.85;28404439;SCoT Rives du Rhône;2840.4439;16.9383;15.6384;0.4782;0.5963258066811318;1512.3482142857142;92.32567613042632
38198;Jarcieu;84;Auvergne-Rhône-Alpes;38;Isère;200085751;Communauté de communes Entre Bièvre et Rhône;SCoT des Rives du Rhône;20;Roussillon;20;1654;0;1654;0;0;0;0;1655;0;1655;0;0;0;0;1096;0;1096;0;0;0;0;3519;0;3519;0;0;0;0;2426;0;2426;0;0;0;0;399;0;0;399;0;0;0;0;0;0;0;0;0;0;13734;12597;1000;0;137;0;0;917;0;917;0;0;0;0;46330;10640;31271;0;4419;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16371;3287;13010;0;74;0;0;1085;0;1085;0;0;0;0;10699;0;10699;0;0;0;0;99885;26524;68332;399;0;4630;0;1.56;1028;1130;102;427;508;81;288;312;24;17.22;24.41;597.85;6403003;SCoT Rives du Rhône;640.3003;9.9885;6.8332;2.6524;1.5599711572835435;979.2647058823529;68.41067227311409
38199;Jardin;84;Auvergne-Rhône-Alpes;38;Isère;200077014;Communauté d'agglomération Vienne Condrieu;SCoT des Rives du Rhône;20;Lyon;20;4077;0;3349;0;728;0;0;4078;0;3349;0;729;0;0;3857;0;3857;0;0;0;0;6603;0;5683;0;920;0;0;3833;0;3833;0;0;0;0;7962;0;6142;0;1820;0;0;2384;0;2384;0;0;0;0;9332;0;7802;0;1530;0;0;6551;0;6505;0;46;0;0;3996;0;3996;0;0;0;0;9866;0;9281;0;585;0;0;21465;0;21465;0;0;0;0;5569;0;5544;0;25;0;0;19551;0;15494;0;4057;0;0;2953;0;2932;0;21;0;0;112077;0;101616;0;0;10461;0;1.22;2211;2168;-43;837;862;26;328;311;-16;1.68;5.06;-1246.37;9220266;SCoT Rives du Rhône;922.0266;11.2077;10.1616;0.0;1.215550614266443;0.0;90.66623838967853
38215;Luzinay;84;Auvergne-Rhône-Alpes;38;Isère;200077014;Communauté d'agglomération Vienne Condrieu;SCoT des Rives du Rhône;20;Lyon;20;4073;751;3221;0;101;0;0;4074;751;3221;0;102;0;0;627;0;627;0;0;0;0;56682;23085;20632;0;8360;0;4605;21945;5;21772;107;61;0;0;6467;0;6467;0;0;0;0;9715;0;9715;0;0;0;0;4423;500;3810;0;113;0;0;20539;0;19779;0;760;0;0;11001;2565;8374;0;62;0;0;13932;875;7878;4737;442;0;0;14306;2522;10810;0;974;0;0;10391;875;9516;0;0;0;0;11127;1027;9784;0;316;0;0;5609;1167;4119;0;323;0;0;194911;34123;139725;4844;4605;11614;0;1.02;2264;2397;133;879;978;100;325;333;8;14.48;16.57;555.76;19029753;SCoT Rives du Rhône;1902.9753;19.4911;13.9725;3.4123;1.0242434570748238;1465.4962406015038;71.68656463719338
38232;Meyssiez;84;Auvergne-Rhône-Alpes;38;Isère;200077014;Communauté d'agglomération Vienne Condrieu;SCoT des Rives du Rhône;20;Lyon;20;1946;0;1946;0;0;0;0;1947;0;1947;0;0;0;0;6363;0;6303;0;60;0;0;920;0;920;0;0;0;0;17175;12372;4803;0;0;0;0;0;0;0;0;0;0;0;2956;0;2937;0;19;0;0;3951;0;3195;0;756;0;0;970;0;970;0;0;0;0;13816;0;13816;0;0;0;0;0;0;0;0;0;0;0;6743;0;6743;0;0;0;0;102;0;102;0;0;0;0;0;0;0;0;0;0;0;984;0;984;0;0;0;0;57873;12372;44666;0;0;835;0;0.42;619;646;27;240;270;30;45;48;3;11.61;10.85;1053.19;13913152;SCoT Rives du Rhône;1391.3152;5.7873;4.4666;1.2372;0.4159589430202445;2143.4444444444443;77.1793409707463
38238;Moidieu-Détourbe;84;Auvergne-Rhône-Alpes;38;Isère;200077014;Communauté d'agglomération Vienne Condrieu;SCoT des Rives du Rhône;20;Lyon;20;5638;0;3022;0;1307;0;1309;5638;0;3022;0;1308;0;1308;18531;6113;12418;0;0;0;0;2572;0;2572;0;0;0;0;8270;0;8270;0;0;0;0;10125;0;9000;0;1125;0;0;3718;0;3718;0;0;0;0;21109;2817;16537;1755;0;0;0;22206;0;21759;0;447;0;0;17210;0;16147;0;1063;0;0;7928;0;6608;1000;320;0;0;8668;0;8668;0;0;0;0;3219;134;3085;0;0;0;0;26868;10145;15226;0;1496;0;1;9065;0;8587;0;478;0;0;170765;19209;138639;2755;2618;7544;0;0.95;1832;1980;148;685;775;90;197;182;-14;9.4;12.26;546.21;18004686;SCoT Rives du Rhône;1800.4686;17.0765;13.8639;1.9209;0.9484475319369636;1153.8175675675675;81.18701138992182
38240;Moissieu-sur-Dolon;84;Auvergne-Rhône-Alpes;38;Isère;200085751;Communauté de communes Entre Bièvre et Rhône;SCoT des Rives du Rhône;30;Commune hors attraction des villes;30;7575;0;7572;0;3;0;0;7576;0;7572;0;4;0;0;20195;0;20189;0;6;0;0;17914;0;16386;0;1528;0;0;3955;0;3007;948;0;0;0;2532;0;2532;0;0;0;0;1000;0;1000;0;0;0;0;3089;0;3089;0;0;0;0;5095;0;5095;0;0;0;0;2694;0;2694;0;0;0;0;0;0;0;0;0;0;0;4315;0;4315;0;0;0;0;13180;0;13180;0;0;0;0;20497;122;19185;0;1190;0;0;7959;0;7931;0;28;0;0;117576;122;113747;948;0;2759;0;0.81;695;730;35;283;318;35;90;78;-12;14.2;21.61;462.66;14452144;SCoT Rives du Rhône;1445.2144;11.7576;11.3747;0.0122;0.8135540304608091;3359.3142857142857;96.74338300333402
